,CPU,GHz,GPU,RAM,RAMType,Screen,Storage,SSD,Weight,Price
0,i5,1.8,intel,4,ddr3,13.3,128,True,1.4,527
1,i5,2.5,intel,4,ddr3,13.3,500,False,2.0,527
2,i5,2.5,intel,8,ddr3,13.3,500,False,2.0,558
3,i5,1.4,intel,4,ddr3,11.6,128,True,1.0,485
4,i5,1.3,intel,4,ddr3,11.6,128,True,1.0,421
5,i5,1.3,intel,4,ddr3,13.3,128,True,1.4,506
6,i5,1.3,intel,4,ddr3,13.3,128,True,1.4,506
7,i5,1.3,intel,4,ddr3,13.3,128,True,1.4,506
8,i5,1.3,intel,4,ddr3,13.3,128,True,1.4,506
9,i5,1.4,intel,4,ddr3,13.3,128,True,1.4,548
10,i5,2.3,intel,8,ddr3,14.0,256,True,1.44,358
11,i5,1.3,intel,4,ddr3,11.6,128,True,1.0,474
12,i5,1.4,intel,4,ddr3,11.6,128,True,1.0,474
13,i5,1.7,intel,8,ddr3,12.5,128,True,1.3,337
14,i5,1.6,intel,4,ddr3,14.0,128,True,1.6,358
15,i5,2.3,intel,8,ddr3,12.5,256,True,1.3,400
16,i5,2.6,intel,8,ddr3,14.0,128,True,2.1,337
17,i5,1.9,intel,16,ddr3,14.0,180,True,1.6,579
18,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,421
19,i5,2.5,amd,8,ddr3,14.0,120,True,2.1,337
20,i5,1.9,intel,8,ddr3,14.0,128,True,1.6,358
21,i5,2.3,intel,8,ddr3,12.5,256,True,1.4,337
22,i5,2.3,intel,8,ddr3,12.5,180,True,1.3,369
23,i5,2.2,intel,8,ddr3,12.5,128,True,1.3,295
24,i5,1.6,intel,8,ddr3,12.5,500,False,1.4,284
25,i7,2.5,nvidia,8,ddr3,17.3,128,True,3.4,790
26,i5,2.6,intel,8,ddr3,14.0,500,False,2.1,295
27,i5,1.6,intel,4,ddr3,11.6,128,True,1.1,527
28,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,411
29,i5,2.3,intel,8,ddr3,12.5,256,True,1.3,337
30,i5,1.6,intel,8,ddr3,12.5,120,True,1.3,295
31,i5,2.3,intel,8,ddr3,12.5,128,True,1.3,337
32,i5,1.6,intel,8,ddr3,12.5,120,True,1.3,295
33,i5,1.6,intel,8,ddr3,12.5,120,True,1.3,337
34,i3,1.7,intel,8,ddr3,12.5,120,True,1.3,263
35,i5,2.6,intel,8,ddr3,12.5,128,True,1.5,263
36,i3,1.9,intel,4,ddr3,13.3,128,True,1.6,253
37,i7,2.7,nvidia,32,ddr4,15.6,512,True,2.7,927
38,i5,2.4,intel,8,ddr4,12.5,256,True,1.3,421
39,i5,2.3,intel,8,ddr4,14.0,256,True,1.5,442
40,i7,2.7,nvidia,32,ddr4,17.3,512,True,3.42,1117
41,i5,2.4,intel,8,ddr4,12.5,256,True,1.4,442
42,i5,2.4,intel,8,ddr4,12.5,256,True,1.4,390
43,i5,2.3,intel,8,ddr3,12.5,180,True,1.4,305
44,i5,2.2,intel,8,ddr3,11.6,120,True,1.4,506
45,i5,2.5,intel,8,ddr3,14.0,250,True,2.3,337
46,i5,2.3,intel,8,ddr3,11.6,180,True,1.4,400
47,i5,2.3,intel,8,ddr3,11.6,180,True,1.4,464
48,i5,2.3,intel,8,ddr3,12.5,256,True,1.4,305
49,i7,2.6,intel,8,ddr3,14.0,480,True,1.6,695
50,i7,2.6,intel,8,ddr3,14.0,480,True,1.6,695
51,i7,2.6,intel,8,ddr3,14.0,480,True,1.6,653
52,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,685
53,i7,2.5,nvidia,16,ddr3,15.6,256,True,2.8,822
54,i5,2.3,intel,8,ddr3,14.0,128,True,1.6,358
55,i5,2.2,amd,4,ddr3,14.0,128,True,1.6,316
56,i5,2.2,amd,4,ddr3,14.0,128,True,1.6,337
